iter	MultiClass
0	1.019176202
1	0.9576619314
2	0.9066600472
3	0.866477024
4	0.833090744
5	0.8059922178
6	0.7814389908
7	0.7616919978
8	0.7445991841
9	0.7306962581
10	0.7178517704
11	0.7064903628
12	0.6966313938
13	0.6880093936
14	0.6809970433
15	0.6742504453
16	0.6687515172
17	0.6645245381
18	0.6609056821
19	0.6568535171
20	0.6535737426
21	0.6505075564
22	0.647771236
23	0.6451758607
24	0.6431717415
25	0.6411037439
26	0.6392971341
27	0.6375523709
28	0.6360535366
29	0.6347149375
30	0.6333415761
31	0.6321081053
32	0.6310201242
33	0.6301355647
34	0.629127107
35	0.6281492415
36	0.6273594096
37	0.6266824787
38	0.6258561798
39	0.625178792
40	0.6245269618
41	0.6236712233
42	0.6228767816
43	0.6223515639
44	0.6218561053
45	0.621185418
46	0.6208129322
47	0.6201406129
48	0.6194311157
49	0.6190592255
50	0.6185925332
51	0.6181234334
52	0.617615079
53	0.6168678317
54	0.6163764908
55	0.6159735438
56	0.6157367786
57	0.6151491975
58	0.6147313332
59	0.6143824691
60	0.6139490901
61	0.6133715033
62	0.6131348963
63	0.6126822289
64	0.6121400593
65	0.611566965
66	0.6109459758
67	0.6105205936
68	0.610084462
69	0.6094914216
70	0.6090369129
71	0.6087050252
72	0.6082485751
73	0.60804791
74	0.6073557916
75	0.6068956036
76	0.6065702227
77	0.6062881171
78	0.6057445958
79	0.6052087107
80	0.6048032053
81	0.6042604888
82	0.6041211601
83	0.6036308483
84	0.6032583796
85	0.6028451703
86	0.6024090079
87	0.6020322987
88	0.6018527566
89	0.6013100636
90	0.6010148985
91	0.6006088112
92	0.6002000596
93	0.5997887435
94	0.5996419606
95	0.5992606348
96	0.5987061214
97	0.5984030171
98	0.597849524
99	0.5976305894
100	0.5972009297
101	0.5964835832
102	0.5960838336
103	0.5957188095
104	0.5952334103
105	0.5947736268
106	0.594355241
107	0.5938912815
108	0.5933460472
109	0.5930448433
110	0.5924321089
111	0.5918958858
112	0.5913931573
113	0.5909434017
114	0.5905431585
115	0.5900946357
116	0.5897375648
117	0.5893281483
118	0.5888661224
119	0.5886307697
120	0.5884561384
121	0.5883013122
122	0.5876148988
123	0.5874212217
124	0.5867840897
125	0.5863552029
126	0.5859061192
127	0.5851453793
128	0.5848913962
129	0.584605631
130	0.584386896
131	0.5841153346
132	0.5836692858
133	0.5834648613
134	0.5830534104
135	0.5828015925
136	0.5825279333
137	0.5822059256
138	0.5818464503
139	0.5814867345
140	0.581239129
141	0.581011185
142	0.5807472549
143	0.5805180831
144	0.5802272682
145	0.5799752987
146	0.5797458709
147	0.5793481281
148	0.5790465033
149	0.5786915846
150	0.5782034949
151	0.577842605
152	0.5776110683
153	0.577294441
154	0.576872281
155	0.5764169985
156	0.5759224781
157	0.5755978596
158	0.5752393236
159	0.5750840391
160	0.5748109032
161	0.5745938013
162	0.5741927639
163	0.5739941996
164	0.5736390577
165	0.5734213547
166	0.5730347453
167	0.5727590821
168	0.5723559003
169	0.5719363051
170	0.5714276144
171	0.5710614116
172	0.5707705893
173	0.5703305163
174	0.5700820123
175	0.5698359765
176	0.5694651728
177	0.569090838
178	0.5688398625
179	0.5682459096
180	0.5678615348
181	0.5677299116
182	0.5675902613
183	0.5673826913
184	0.5667200516
185	0.5661018332
186	0.5656010136
187	0.5653087469
188	0.564878675
189	0.5647166549
190	0.5642424986
191	0.5637292928
192	0.5634495308
193	0.5633009148
194	0.5629735991
195	0.5626018787
196	0.5622016455
197	0.5618186279
198	0.5616151402
199	0.5613219903
