iter	Passed	Remaining
0	6	1219
1	11	1093
2	14	976
3	18	886
4	21	842
5	25	824
6	29	805
7	33	795
8	36	783
9	40	773
10	44	760
11	47	751
12	51	740
13	55	731
14	59	728
15	62	720
16	66	712
17	69	703
18	73	697
19	77	696
20	81	694
21	85	691
22	89	687
23	92	681
24	96	675
25	100	670
26	103	665
27	107	659
28	110	654
29	114	648
30	117	642
31	121	638
32	125	633
33	128	629
34	132	626
35	136	621
36	140	617
37	143	612
38	147	608
39	151	604
40	154	599
41	158	594
42	161	591
43	166	588
44	170	585
45	173	581
46	177	577
47	181	574
48	185	570
49	188	566
50	192	562
51	196	558
52	200	555
53	204	552
54	207	548
55	212	545
56	216	542
57	219	538
58	223	534
59	227	530
60	230	526
61	235	523
62	238	519
63	242	515
64	246	511
65	250	508
66	254	504
67	258	501
68	262	498
69	266	495
70	270	491
71	274	487
72	278	484
73	281	480
74	285	476
75	289	472
76	293	468
77	296	464
78	300	460
79	304	456
80	307	452
81	311	448
82	315	444
83	319	440
84	322	436
85	326	432
86	330	428
87	333	424
88	337	420
89	341	417
90	345	413
91	349	409
92	352	405
93	356	402
94	360	398
95	364	394
96	368	391
97	372	387
98	375	383
99	379	379
100	383	376
101	387	372
102	391	368
103	395	364
104	398	360
105	402	356
106	406	352
107	409	348
108	413	344
109	416	341
110	420	337
111	424	333
112	428	330
113	432	326
114	436	322
115	440	318
116	443	314
117	447	311
118	451	307
119	454	303
120	458	299
121	461	295
122	465	291
123	469	287
124	473	283
125	476	279
126	480	276
127	484	272
128	488	268
129	491	264
130	495	261
131	499	257
132	503	253
133	507	250
134	511	246
135	514	242
136	518	238
137	522	234
138	526	230
139	530	227
140	533	223
141	537	219
142	541	215
143	544	211
144	548	208
145	552	204
146	556	200
147	560	196
148	564	193
149	567	189
150	571	185
151	575	181
152	578	177
153	582	174
154	586	170
155	590	166
156	594	162
157	598	159
158	601	155
159	605	151
160	608	147
161	612	143
162	616	139
163	620	136
164	624	132
165	627	128
166	631	124
167	635	121
168	639	117
169	643	113
170	646	109
171	650	105
172	654	102
173	657	98
174	661	94
175	665	90
176	669	86
177	673	83
178	676	79
179	680	75
180	684	71
181	687	68
182	690	64
183	694	60
184	698	56
185	702	52
186	706	49
187	709	45
188	713	41
189	717	37
190	720	33
191	724	30
192	728	26
193	732	22
194	736	18
195	740	15
196	744	11
197	748	7
198	752	3
199	756	0
