,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score,Auto_Loan,Debt_Consolidation_Loan
0,17,Lawyer,30625.94,2706.16,6,5,27.0,2,"Credit-Builder Loan,  Home Equity Loan",57,23,1.88,10,Bad,1562.91,33.4775,10 Years and 2 Months,Yes,42.94,158.54875,Low_spent_Large_value_payments,335.375,Poor,0,0
1,25,Mechanic,52312.68,4250.39,6,5,17.0,4,"Not Specified, Home Equity Loan, Credit-Builder Loan,  Payday Loan",7,17,9.73,3,Standard,202.68,29.84,30 Years and 5 Months,Yes,108.37,146.67875,Low_spent_Medium_value_payments,428.7425,Standard,0,0
2,18,Media_Manager,113781.39,9549.78,1,4,1.0,0,No Loan,13,7,10.965,1,Good,1030.2,34.8425,15 Years and 3 Months,No,0.0,544.44375,Low_spent_Medium_value_payments,781.23125,Poor,0,0
3,43,Doctor,58918.47,5208.87,3,3,17.0,3,"Student Loan, Credit-Builder Loan,  Debt Consolidation Loan",27,14,14.17,7,Standard,473.14,27.65625,15 Years and 3 Months,Yes,123.43,281.0825,High_spent_Large_value_payments,332.64250000000004,Standard,0,1
4,43,Mechanic,98620.98,7962.42,3,3,6.0,3,"Student Loan, Debt Consolidation Loan,  Personal Loan",12,8,1.705,3,Good,1233.51,31.93375,17 Years and 3 Months,No,228.02,355.44125,High_spent_Medium_value_payments,472.78125,Standard,0,1
5,27,Journalist,46951.02,3725.59,7,4,16.0,0,No Loan,8,9,16.33,7,Standard,340.22,35.18125,20 Years and 10 Months,Yes,0.0,267.56875,Low_spent_Medium_value_payments,398.21875,Good,0,0
6,15,Accountant,61194.81,5014.57,7,7,23.0,8,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Not Specified, Student Loan, Home Equity Loan, Personal Loan,  Credit-Builder Loan",23,21,28.63,8,Bad,2773.09,28.29375,13 Years and 8 Months,Yes,225.37,209.625,Low_spent_Small_value_payments,333.9625,Poor,0,0
7,51,Manager,170614.28,14463.86,2,6,9.0,2,"Payday Loan,  Auto Loan",0,2,0.73,3,Good,849.69,37.18875,20 Years and 1 Months,No,208.91,351.33125,High_spent_Large_value_payments,1170.60625,Standard,1,0
8,30,Entrepreneur,89064.52,7256.04,5,3,1.0,1,Mortgage Loan,5,5,6.62,3,Good,648.36,33.9275,29 Years and 8 Months,No,37.57,384.92,Low_spent_Medium_value_payments,573.11125,Good,0,0
9,25,Scientist,50807.44,4197.95,8,4,11.0,4,"Mortgage Loan, Not Specified, Home Equity Loan,  Home Equity Loan",12,9,3.1,4,Standard,869.59,34.27375,22 Years and 4 Months,Yes,88.76,112.0675,High_spent_Large_value_payments,473.9675,Standard,0,0
10,40,Lawyer,60410.94,5274.24,4,7,17.0,4,"Student Loan, Home Equity Loan, Not Specified,  Payday Loan",22,9,8.025,7,Standard,1852.86,30.4,15 Years and 8 Months,Yes,149.93,262.45625,Low_spent_Small_value_payments,385.0425,Standard,0,0
11,44,Accountant,15989.08,1086.42,5,4,2.0,4,"Credit-Builder Loan, Auto Loan, Auto Loan,  Mortgage Loan",11,15,0.5,2,Good,665.82,33.31375,19 Years and 2 Months,No,33.8,94.49875,Low_spent_Large_value_payments,266.59625,Good,2,0
12,27,Architect,129473.16,10959.43,3,4,10.0,3,"Payday Loan, Payday Loan,  Home Equity Loan",28,13,8.485,9,Standard,568.21,35.2125,19 Years and 5 Months,Yes,255.33,536.10375,Low_spent_Large_value_payments,573.26375,Good,0,0
13,40,Scientist,98690.8,8262.23,4,6,9.0,1,Student Loan,6,17,9.26,3,Good,706.96,34.49875,26 Years and 4 Months,No,55.0,383.3975,Low_spent_Medium_value_payments,657.8225,Poor,0,0
14,14,Teacher,8978.11,894.18,8,8,30.0,9,"Payday Loan, Mortgage Loan, Payday Loan, Mortgage Loan, Home Equity Loan, Home Equity Loan, Mortgage Loan, Not Specified,  Student Loan",50,16,18.23,9,Bad,4913.15,32.055,9 Years and 10 Months,Yes,57.68,40.53375,High_spent_Medium_value_payments,260.305,Standard,0,0
15,44,Entrepreneur,33441.59,2748.8,2,4,1.0,0,No Loan,2,4,10.58,3,Good,154.96,30.57625,31 Years and 4 Months,No,0.0,155.25875,High_spent_Small_value_payments,380.87125,Standard,0,0
16,26,Accountant,42387.54,3680.3,3,7,26.0,7,"Personal Loan, Not Specified, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan,  Debt Consolidation Loan",9,8,13.84,7,Standard,1835.67,31.50375,9 Years and 5 Months,Yes,225.88,199.96625,Low_spent_Medium_value_payments,213.00375,Poor,0,2
